Epochs,Training loss,Validation loss
1,5.266030311584473,3.461644172668457
2,2.999490261077881,2.8727312088012695
3,2.783921241760254,2.7734591960906982
4,2.72109317779541,2.7303860187530518
5,2.7006309032440186,2.7212183475494385
6,2.6901917457580566,2.7096030712127686
7,2.679582357406616,2.700474977493286
8,2.6703920364379883,2.691941976547241
9,2.661597490310669,2.6836156845092773
10,2.6529810428619385,2.6754257678985596
11,2.6444952487945557,2.6673619747161865
12,2.63613224029541,2.65942645072937
13,2.6278910636901855,2.651618242263794
14,2.6197776794433594,2.6439473628997803
15,2.6117990016937256,2.6364188194274902
16,2.6039624214172363,2.629038095474243
17,2.5962743759155273,2.621807098388672
18,2.588742256164551,2.614733934402466
19,2.5813703536987305,2.607815980911255
20,2.5741629600524902,2.6010661125183105
21,2.567126989364624,2.5944840908050537
22,2.5602707862854004,2.588088274002075
23,2.5536015033721924,2.581886053085327
24,2.5471301078796387,2.5758891105651855
25,2.5408644676208496,2.5701091289520264
26,2.5348119735717773,2.564547538757324
27,2.528975486755371,2.5592126846313477
28,2.52335524559021,2.554103136062622
29,2.5179474353790283,2.5492093563079834
30,2.512744188308716,2.544522285461426
31,2.507734537124634,2.5400338172912598
32,2.5029051303863525,2.5357282161712646
33,2.4982399940490723,2.531583786010742
34,2.4937238693237305,2.5275895595550537
35,2.4893405437469482,2.523730516433716
36,2.485076665878296,2.519988775253296
37,2.4809181690216064,2.5163514614105225
38,2.4768552780151367,2.512812614440918
39,2.4728775024414062,2.5093555450439453
40,2.468977928161621,2.505979299545288
41,2.4651505947113037,2.502678155899048
42,2.461390256881714,2.499441385269165
43,2.4576942920684814,2.4962735176086426
44,2.454059362411499,2.49316668510437
45,2.450483560562134,2.4901182651519775
46,2.446964740753174,2.4871296882629395
47,2.4435031414031982,2.4841980934143066
48,2.440095901489258,2.4813232421875
49,2.4367432594299316,2.4785022735595703
50,2.4334447383880615,2.4757370948791504
51,2.43019962310791,2.4730262756347656
52,2.427006959915161,2.470367193222046
53,2.4238672256469727,2.467759370803833
54,2.4207780361175537,2.4652061462402344
55,2.417741060256958,2.462700366973877
56,2.4147541522979736,2.4602484703063965
57,2.411817789077759,2.4578449726104736
58,2.4089303016662598,2.4554882049560547
59,2.4060916900634766,2.453181743621826
60,2.403301239013672,2.450922966003418
61,2.40055775642395,2.4487102031707764
62,2.3978614807128906,2.446542978286743
63,2.3952109813690186,2.4444198608398438
64,2.3926053047180176,2.442340612411499
65,2.3900437355041504,2.4403040409088135
66,2.3875255584716797,2.4383089542388916
67,2.385050058364868,2.436354398727417
68,2.382615804672241,2.434441089630127
69,2.3802223205566406,2.432567834854126
70,2.37786865234375,2.4307305812835693
71,2.375554084777832,2.4289286136627197
72,2.373277187347412,2.427164077758789
73,2.371037006378174,2.4254372119903564
74,2.368833303451538,2.423739433288574
75,2.3666651248931885,2.422078847885132
76,2.3645308017730713,2.420447826385498
77,2.362429618835449,2.4188473224639893
78,2.3603620529174805,2.4172801971435547
79,2.358325481414795,2.415739059448242
80,2.3563199043273926,2.414229393005371
81,2.354344606399536,2.4127438068389893
82,2.35239839553833,2.411288022994995
83,2.3504812717437744,2.409855365753174
84,2.3485915660858154,2.4084508419036865
85,2.346729278564453,2.4070682525634766
86,2.344893455505371,2.4057116508483887
87,2.343082904815674,2.4043753147125244
88,2.3412978649139404,2.4030635356903076
89,2.3395369052886963,2.401770830154419
90,2.3378000259399414,2.4005002975463867
91,2.3360867500305176,2.3992512226104736
92,2.334395408630371,2.3980214595794678
93,2.33272647857666,2.3968093395233154
94,2.3310792446136475,2.3956172466278076
95,2.3294525146484375,2.3944427967071533
96,2.3278472423553467,2.3932840824127197
97,2.326261281967163,2.3921446800231934
98,2.324694871902466,2.3910226821899414
99,2.323147773742676,2.3899152278900146
100,2.3216192722320557,2.388821601867676
